Titulo_checagem,Afirmacao_original,veredito,Meta AI Veredito 1,Meta AI Veredito 2,Ta Certo Isso Ai Veredito 1,Ta Certo Isso Ai Veredito 2 ,link_para_noticia
É #FAKE que sirene de guerra tocou em Caracas indicando ataque dos EUA; som foi adicionado a vídeo de 2022,Um vídeo mostra a cidade de Caracas acompanhada de um som de sirene de guerra e textos insinuando que o sinal indicava um iminente ataque dos Estados Unidos.,fake,Falso | Sem link,Falso | Sem link,Falsa,Não fez checagem,https://g1.globo.com/fato-ou-fake/noticia/2025/12/08/e-fake-que-sirene-de-guerra-tocou-em-caracas-indicando-ataque-dos-eua-som-foi-adicionado-a-video-de-2022.ghtml
É #FAKE foto de torcedores do São Paulo exibindo faixa 'Perdam pro Inter'; imagem é montagem,Imagem mostra torcedores do São Paulo no estádio segurando uma faixa pedindo para que o time perca para o Internacional.,fake,Gerou imagem,Gerou imagem,Falsa,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/08/e-fake-foto-de-torcedores-do-sao-paulo-exibindo-faixa-perdam-pro-inter-imagem-e-montagem.ghtml
É #FAKE vídeo de operários 'tingindo' frutas e verduras em fábrica na China; cena foi criada com inteligência artificial,"Vídeo viral mostra operários 'tingindo' frutas, legumes e verduras com sprays e bacias de água colorida em uma fábrica na China, como se fosse uma prática real.",fake,Falso | Sem link,Falso | Sem link,Não fez checagem,Não fez checagem,https://g1.globo.com/fato-ou-fake/noticia/2025/12/04/e-fake-video-de-operarios-tingindo-frutas-e-verduras-em-fabrica-na-china-cena-foi-criada-com-inteligencia-artificial.ghtml
É #FAKE que vídeo de Michelle Bolsonaro sorrindo foi feito após prisão de ex-presidente; gravação ocorreu no início de novembro,Vídeo mostra Michelle Bolsonaro sorrindo e cumprimentando apoiadoras e é compartilhado como se ela estivesse feliz logo após a prisão de Jair Bolsonaro.,fake,Afirmação foi falsa mas falou que o bolsonaro não foi preso,Falso | Sem link,Fora de Contexto,Verdade,https://g1.globo.com/fato-ou-fake/noticia/2025/12/03/e-fake-que-video-de-michelle-bolsonaro-sorrindo-foi-feito-apos-prisao-de-ex-presidente-gravacao-ocorreu-no-inicio-de-novembro.ghtml
É #FAKE cartaz alegando que Bolsa Família teve aumento e que 'reajuste' foi quase o dobro do concedido a aposentados,"Um cartaz que circula no WhatsApp diz que o Bolsa Família teve reajuste de 6,97%, quase o dobro do aumento dado aos aposentados, e pede que a mensagem seja compartilhada.",fake,Falso,Falso | Sem link,Falso,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/03/e-fake-cartaz-alegando-que-bolsa-familia-teve-aumento-e-que-reajuste-foi-quase-o-dobro-do-concedido-a-aposentados.ghtml
É #FAKE que ex-PMs réus pelo 8 de Janeiro terão de pagar R$ 6 milhões em multas cada um,Publicação afirma que o ministro Alexandre de Moraes determinou que cada ex-policial militar réu pelos atos de 8 de janeiro pague multa de R$ 6 milhões.,fake,Não fez checagem,Falso | mas alucinou e trouxe link que não faz sentido pra um caso do Moraes multando o X,Fora de Contexto,Não fez checagem,https://g1.globo.com/fato-ou-fake/noticia/2025/12/03/e-fake-que-ex-pms-reus-pelo-8-de-janeiro-terao-de-pagar-r-6-milhoes-em-multas-cada-um.ghtml
É #FAKE vídeo que mostra polícia achando 'fábrica de visualizações' de conteúdos do YouTube; cena foi criada com inteligência artificial,Um vídeo popular mostra supostos policiais descobrindo uma 'fábrica de visualizações' com fileiras de celulares simulando acessos para aumentar views de músicas no YouTube.,fake,Falso | Sem link,Falso | Sem link,Falso,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/03/e-fake-video-que-mostra-policia-achando-fabrica-de-visualizacoes-de-conteudos-do-youtube-cena-foi-criada-com-inteligencia-artificial.ghtml
É #FAKE que vídeo mostre secretário da Guerra dos EUA desembarcando no Brasil,"Publicação no TikTok afirma que o secretário de Guerra dos EUA, Pete Hegseth, desembarcou no Brasil em avião militar e mostra dois vídeos combinados como prova.",fake,Falso,Falso,Falso,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/02/e-fake-que-video-mostre-secretario-da-guerra-dos-eua-desembarcando-no-brasil.ghtml
É #FAKE áudio de Lula parabenizando ministro por prisão de Bolsonaro; gravação foi criada com inteligência artificial,"Vídeo nas redes apresenta áudio que seria de Lula parabenizando um ministro pela prisão de Bolsonaro, sugerindo que o presidente teria comentado o caso.",fake,Falso | Sem link,Falso | Sem link,Falso,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/02/e-fake-audio-de-lula-parabenizando-ministro-por-prisao-de-bolsonaro-gravacao-foi-criada-com-inteligencia-artificial.ghtml
É #FAKE que homem gritou 'Allahu Akbar' durante confusão em comício de Trump; trata-se de montagem,"Circula um vídeo de um comício de Donald Trump em que um suposto manifestante grita 'Allahu Akbar', dando a entender que a cena ocorreu em 2025.",fake,Falso,Falso,Não fez checagem,Não fez checagem,https://g1.globo.com/fato-ou-fake/noticia/2025/12/02/e-fake-que-homem-gritou-allahu-akbar-durante-confusao-em-comicio-de-trump-trata-se-de-montagem.ghtml
É #FAKE vídeo de ministro Luiz Fux dizendo que aprovará anistia para Bolsonaro; conteúdo foi alterado por inteligência artificial,Vídeo mostra o ministro Luiz Fux afirmando que irá aprovar uma anistia para o ex-presidente Jair Bolsonaro.,fake,Falso,Falso | Sem link,Falso,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/01/e-fake-video-de-ministro-luiz-fux-dizendo-que-aprovara-anistia-para-bolsonaro-conteudo-foi-alterado-por-inteligencia-artificial.ghtml
É #FAKE que vídeo mostre queima de fogos no Rio após Flamengo ganhar Libertadores; cena ocorreu no Ano-Novo de 2023 na Itália,Vídeo de uma queima de fogos sobre uma cidade montanhosa circula como se mostrasse a comemoração no Rio pelo título do Flamengo na Libertadores de 2025.,fake,Verdade,Falso,Verdade,Fora de Contexto,https://g1.globo.com/fato-ou-fake/noticia/2025/12/01/e-fake-que-video-mostre-queima-de-fogos-no-rio-apos-flamengo-ganhar-libertadores-cena-ocorreu-no-ano-novo-de-2023-na-italia.ghtml
É #FAKE foto de ex-jogadores de futebol segurando faixa que diz 'somos todos Bolsonaro'; imagem foi criada com IA do Google,"Imagem viral traz Ronaldo, Ronaldinho Gaúcho, Roberto Carlos e Rivaldo segurando uma faixa com a frase 'Somos todos Bolsonaro - Anistia já!', sugerindo apoio público dos ex-jogadores.",fake,Gerou imagem,Gerou imagem,Falso,Não fez checagem,https://g1.globo.com/fato-ou-fake/noticia/2025/12/01/e-fake-foto-de-ex-jogadores-de-futebol-segurando-faixa-que-diz-somos-todos-bolsonaro-imagem-foi-criada-com-ia-do-google.ghtml
É #FAKE que vídeo mostre motociata contra prisão de Jair Bolsonaro; imagens registram ato de apoiadores em julho,Vídeo de motociclistas circulando em Brasília foi compartilhado como se mostrasse um protesto contra a prisão de Jair Bolsonaro em novembro de 2025.,fake,Fora de contexto,Falso,Falso,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/11/25/e-fake-que-video-mostre-motociata-contra-prisao-de-jair-bolsonaro-imagens-registram-ato-de-apoiadores-em-julho.ghtml
É #FAKE que Jaques Wagner propôs adiar eleições de 2026 em entrevista à GloboNews; fala do senador foi tirada de contexto,Jaques Wagner propôs adiar eleições de 2026 em entrevista à GloboNews,fake,Não fez Checagem,Não fez Checagem,Falso,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/10/13/e-fake-que-jaques-wagner-propos-adiar-eleicoes-de-2026-em-entrevista-a-globonews-fala-do-senador-foi-tirada-de-contexto.ghtml
É #FAKE que vídeo mostre Trump exibindo foto ao lado de Jair Bolsonaro; quem aparece na imagem real é Vladimir Putin,notícia urgente. Trump mostra foto dele e do Bolsonaro quando ele estava nos EUA e fala que Bolsonaro é uma pessoa muito boa e não teria coragem de dar golpe no Brasil. Será?,fake,Não fez Checagem,Verdade,Não fez Checagem,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/05/e-fake-que-video-mostre-trump-exibindo-foto-ao-lado-de-jair-bolsonaro-quem-aparece-na-imagem-real-e-vladimir-putin.ghtml
É #FAKE foto de CEO do Banco Master ao lado de governadores; trata-se de montagem,Imagem de post  mostra Daniel Vorcaro  em registro com outros políticos feito em 7 de agosto.,fake,Gerou imagem,Gerou imagem,Falso,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/11/28/e-fake-foto-de-ceo-do-banco-master-ao-lado-de-governadores-trata-se-de-montagem.ghtml
É #FAKE que eleitor perde voto se apertar tecla 'confirma' enquanto urna exibe 'confira seu voto',eleitor perde voto se apertar tecla 'confirma' enquanto urna exibe 'confira seu voto',fake,Não fez Checagem,Não fez Checagem,Falso,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2024/09/17/e-fake-que-eleitor-perde-voto-se-apertar-tecla-confirma-enquanto-urna-exibe-confira-seu-voto.ghtml
