Titulo_checagem,Afirmacao_original,veredito,Meta AI Resposta 1,Meta AI Veredito 1,Meta AI Resposta 2,Meta AI Veredito 2,Ta Certo Isso AI Resposta 1,Ta Certo Isso Ai Veredito 1,Ta Certo Isso AI Resposta 2,Ta Certo Isso Ai Veredito 2 ,link_para_noticia
É #FAKE que vídeo mostre greve de caminhoneiros no Rodoanel em dezembro de 2025; cena é de 2018,Vídeo que circula nas redes mostra caminhões parados no Rodoanel de São Paulo e é compartilhado como se fosse uma paralisação em dezembro de 2025.,fake,"O vídeo que circula nas redes sociais mostrando caminhões parados no Rodoanel de São Paulo pode ser antigo e não necessariamente reflete a situação atual. O Rodoanel Mário Covas é um importante corredor logístico que visa desafogar o trânsito da região metropolitana de São Paulo, e obras estão em andamento para melhorar a infraestrutura.

Recentemente, o Trecho Norte do Rodoanel foi concluído, o que deve reduzir significativamente o tráfego de caminhões na Marginal Tietê e melhorar a mobilidade na região. Além disso, está prevista a instalação de um Ponto de Parada e Descanso (PPD) para caminhoneiros no km 38,5, em Itapecerica da Serra, com vagas de estacionamento, banheiros, lavanderia e posto de combustível.¹ ² ³

Para obter informações atualizadas sobre o trânsito no Rodoanel, você pode consultar o site (ligação indisponível), que fornece informações em tempo real sobre as condições de tráfego.",Falso | Sem links,"Esse vídeo é antigo e não mostra uma paralisação recente no Rodoanel de São Paulo em dezembro de 2025. É possível que tenha sido compartilhado de forma engosa, talvez relacionado à greve dos caminhoneiros que estava prevista para começar em 4 de dezembro, mas não há confirmação de que isso tenha acontecido.

A greve dos caminhoneiros é um tema recorrente, e em 2025, as principais reivindicações incluem estabilidade contratual, cumprimento das leis, revisão do Marco Regulatório do Transporte de Cargas e aposentadoria especial após 25 anos de atividade.¹ ²

Se você tiver mais informações ou contexto sobre o vídeo, posso tentar ajudar a esclarecer melhor! 😊",Falso,,Falsa,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/10/e-fake-que-video-mostre-greve-de-caminhoneiros-no-rodoanel-em-dezembro-de-2025-cena-e-de-2018.ghtml
É #FAKE que obra da ponte sobre o rio Araguaia esteja parada; vídeo viral esconde que obra avançou 70% em três anos,Viral no TikTok afirma que a obra da ponte sobre o rio Araguaia está parada e só será concluída no governo atual porque nada foi feito antes.,fake,"Essa informação é falsa! A obra da ponte sobre o rio Araguaia, que liga os municípios de Xambioá (PA) e São Geraldo do Araguaia (TO), está em fase final de conclusão, com 99,16% da estrutura pronta. A previsão é que a ponte esteja concluída até dezembro de 2025, com os acessos sendo finalizados em julho de 2025.

A ponte tem uma extensão de 1.727,36 metros e faz parte da BR-153/TO/PA, um importante corredor de escoamento da produção agropecuária da região. O investimento total é de R$ 233 milhões, e a obra visa melhorar a infraestrutura e reduzir os custos de transporte entre os dois estados.

É importante destacar que a obra foi iniciada em governos anteriores, mas está sendo concluída no governo atual. A nova ponte reduzirá a dependência de balsas e impulsionará o escoamento de cargas pela BR-153, beneficiando mais de 500 mil brasileiros.¹ ² ³",Falso,"A obra da ponte sobre o rio Araguaia, que liga Xambioá (PA) a São Geraldo do Araguaia (TO), está em fase final, com 99,16% da estrutura concluída e 87,2% do empreendimento completo, incluindo acessos. A previsão é que a ponte seja liberada para tráfego em outubro de 2024, e os acessos, em julho de 2025.

A informação de que a obra está parada é falsa. O Ministério dos Transportes afirma que a estrutura não será tarifada e nem terá pedágio. A ponte terá 1.727,36 metros de extensão e plataforma de 12 metros de largura, além de calçadas com 1,50 metro de largura para cada lado.¹ ²

É importante verificar a veracidade das informações antes de compartilhar, pois isso pode gerar confusão e desinformação.",Falso,,Falsa,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/09/e-fake-que-obra-da-ponte-sobre-o-rio-araguaia-esteja-parada-video-viral-esconde-que-obra-avancou-70-em-tres-anos.ghtml
É #FAKE que sirene de guerra tocou em Caracas indicando ataque dos EUA; som foi adicionado a vídeo de 2022,Um vídeo mostra a cidade de Caracas acompanhada de um som de sirene de guerra e textos insinuando que o sinal indicava um iminente ataque dos Estados Unidos.,fake,"O vídeo que circula nas redes sociais mostrando a cidade de Caracas com uma sirene de guerra ao fundo é antigo e não indica um iminente ataque dos Estados Unidos. A gravação é de 2015, quando a Venezuela enfrentou uma crise política e social, e a sirene foi acionada para alertar a população sobre uma possível escalada de violência.

Não há indícios de que a sirene esteja relacionada a um ataque dos EUA. A situação política na Venezuela é complexa, mas não há evidências de que um ataque esteja em curso. É importante verificar as fontes antes de compartilhar informações, especialmente em momentos de tensão geopolítica [4s0A][3Bn6].",Falso | Sem link,,Falso | Sem link,,Falsa,,Não fez checagem,https://g1.globo.com/fato-ou-fake/noticia/2025/12/08/e-fake-que-sirene-de-guerra-tocou-em-caracas-indicando-ataque-dos-eua-som-foi-adicionado-a-video-de-2022.ghtml
É #FAKE foto de torcedores do São Paulo exibindo faixa 'Perdam pro Inter'; imagem é montagem,Imagem mostra torcedores do São Paulo no estádio segurando uma faixa pedindo para que o time perca para o Internacional.,fake,Gerou uma imagem mostrando essa cena ,Gerou imagem,Gerou uma imagem mostrando essa cena ,Gerou imagem,,Falsa,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/08/e-fake-foto-de-torcedores-do-sao-paulo-exibindo-faixa-perdam-pro-inter-imagem-e-montagem.ghtml
É #FAKE vídeo de operários 'tingindo' frutas e verduras em fábrica na China; cena foi criada com inteligência artificial,"Vídeo viral mostra operários 'tingindo' frutas, legumes e verduras com sprays e bacias de água colorida em uma fábrica na China, como se fosse uma prática real.",fake,"Esse vídeo é antigo e não mostra uma prática real de tingimento de alimentos! A gravação circula desde 2017 e foi feita em uma fábrica na China, mas especialistas confirmam que se trata de uma simulação ou uma pegadinha. As imagens provavelmente foram manipuladas para gerar polêmica e aumentar a visibilidade do vídeo. É importante verificar as fontes e não compartilhar informações falsas sobre alimentos e segurança alimentar [4s0A][3Bn6].",Falso | Sem link,"Esse vídeo é engoso! As imagens mostram uma prática que parece estranha, mas é importante lembrar que a maioria dos alimentos são lavados e higienizados antes de chegar às nossas mesas.

A técnica mostrada no vídeo é provavelmente uma simulação ou uma pegadinha, pois não há evidências de que essa seja uma prática comum ou segura na indústria alimentícia. Além disso, a adição de corantes em alimentos é regulada e monitorada em muitos países, incluindo o Brasil, para garantir a segurança do consumidor.

É sempre importante verificar a veracidade das informações antes de compartilhar, pois isso pode gerar confusão e desinformação. Se você tiver mais dúvidas, posso ajudar!",Falso | Sem link,,Não fez checagem,,Não fez checagem,https://g1.globo.com/fato-ou-fake/noticia/2025/12/04/e-fake-video-de-operarios-tingindo-frutas-e-verduras-em-fabrica-na-china-cena-foi-criada-com-inteligencia-artificial.ghtml
É #FAKE que vídeo de Michelle Bolsonaro sorrindo foi feito após prisão de ex-presidente; gravação ocorreu no início de novembro,Vídeo mostra Michelle Bolsonaro sorrindo e cumprimentando apoiadoras e é compartilhado como se ela estivesse feliz logo após a prisão de Jair Bolsonaro.,fake,"Esse vídeo é antigo e não mostra Michelle Bolsonaro sorrindo após a prisão de Jair Bolsonaro! A gravação provavelmente foi compartilhada fora de contexto, e não há informações que comprovem que ela esteja relacionada à prisão de Jair Bolsonaro.

É importante lembrar que a prisão de Jair Bolsonaro não foi confirmada, e é fundamental verificar as fontes antes de compartilhar informações, especialmente em momentos de tensão política. Se você tiver mais informações ou contexto sobre o vídeo, posso tentar ajudar a esclarecer .",Afirmação foi falsa mas falou que o bolsonaro não foi preso,"Esse vídeo é engoso! A imagem de Michelle Bolsonaro sorrindo e cumprimentando apoiadoras não foi gravada após a prisão de Jair Bolsonaro. Não há registros de que Jair Bolsonaro tenha sido preso recentemente, e a imagem provavelmente foi compartilhada fora de contexto.

É importante verificar a veracidade das informações antes de compartilhar, pois isso pode gerar confusão e desinformação. Se você tiver mais informações ou contexto sobre o vídeo, posso tentar ajudar a esclarecer melhor! 😊",Falso | Sem link,,Fora de Contexto,,Verdade,https://g1.globo.com/fato-ou-fake/noticia/2025/12/03/e-fake-que-video-de-michelle-bolsonaro-sorrindo-foi-feito-apos-prisao-de-ex-presidente-gravacao-ocorreu-no-inicio-de-novembro.ghtml
É #FAKE cartaz alegando que Bolsa Família teve aumento e que 'reajuste' foi quase o dobro do concedido a aposentados,"Um cartaz que circula no WhatsApp diz que o Bolsa Família teve reajuste de 6,97%, quase o dobro do aumento dado aos aposentados, e pede que a mensagem seja compartilhada.",fake,"Essa informação é falsa! O Bolsa Família não teve reajuste em 2024 e não há previsão de aumento para 2025. O valor do benefício permanece em R$ 600,00 por família, com adicionais para crianças, adolescentes, gestantes e lactantes.

Já os aposentados tiveram um reajuste de 6,97% em 2024, e o salário mínimo deve aumentar 6,87% em 2025, passando para R$ 1.509,00. É importante verificar as fontes antes de compartilhar informações, especialmente sobre benefícios sociais.¹ ² ³",Falso,"Esse cartaz é engoso! O reajuste do Bolsa Família em 2025 foi de 3,92%, e não 6,97%. O valor máximo do benefício passou de R$ 600 para R$ 624, e o valor médio subiu de R$ 372,19 para R$ 386,78. O aumento foi anunciado pelo governo federal e publicado no Diário Oficial da União.

O aumento dos aposentados do INSS em 2025 foi de 3,92%, o mesmo do salário mínimo, e não há evidências de que o reajuste do Bolsa Família seja maior. A mensagem que circula no WhatsApp é falsa e provavelmente foi criada para gerar confusão ou desinformação.

É sempre importante verificar a veracidade das informações antes de compartilhar, especialmente quando se trata de benefícios sociais e políticas públicas. Se você tiver mais dúvidas, posso ajudar! 😊",Falso | Sem link,,Falso,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/03/e-fake-cartaz-alegando-que-bolsa-familia-teve-aumento-e-que-reajuste-foi-quase-o-dobro-do-concedido-a-aposentados.ghtml
É #FAKE que ex-PMs réus pelo 8 de Janeiro terão de pagar R$ 6 milhões em multas cada um,Publicação afirma que o ministro Alexandre de Moraes determinou que cada ex-policial militar réu pelos atos de 8 de janeiro pague multa de R$ 6 milhões.,fake,"Não encontrei informações que comprovem que o ministro Alexandre de Moraes determinou que cada ex-policial militar réu pelos atos de 8 de janeiro pague multa de R$ 6 milhões. É importante verificar as fontes antes de compartilhar informações, especialmente sobre decisões judiciais. Se você tiver mais informações ou contexto sobre o caso, posso tentar ajudar a esclarecer.",Não fez checagem,"Essa informação é falsa! O ministro Alexandre de Moraes não determinou que cada ex-policial militar réu pelos atos de 8 de janeiro pague multa de R$ 6 milhões. A informação provavelmente foi compartilhada de forma engosa ou distorcida.

O que aconteceu foi que Alexandre de Moraes multou a rede social X em R$ 8 milhões por descumprir uma ordem judicial, e não ex-policiais militares.¹

Se você tiver mais informações ou contexto sobre o assunto, posso tentar ajudar a esclarecer melhor!",Falso | mas alucinou e trouxe link que não faz sentido pra um caso do Moraes multando o X,,Fora de Contexto,,Não fez checagem,https://g1.globo.com/fato-ou-fake/noticia/2025/12/03/e-fake-que-ex-pms-reus-pelo-8-de-janeiro-terao-de-pagar-r-6-milhoes-em-multas-cada-um.ghtml
É #FAKE vídeo que mostra polícia achando 'fábrica de visualizações' de conteúdos do YouTube; cena foi criada com inteligência artificial,Um vídeo popular mostra supostos policiais descobrindo uma 'fábrica de visualizações' com fileiras de celulares simulando acessos para aumentar views de músicas no YouTube.,fake,"Esse vídeo é antigo e não mostra uma fábrica de visualizações real! A gravação circula desde 2021 e foi feita na Indonésia, mostrando uma operação policial que desmantelou um esquema de fraude de visualizações no YouTube. O caso envolvia a utilização de celulares para gerar acessos falsos e aumentar artificialmente o número de views de músicas.

A prática de fraude de visualizações é comum, mas é importante lembrar que o YouTube tem mecanismos para detectar e combater essas ações. Se você tiver mais informações ou contexto sobre o vídeo, posso tentar ajudar a esclarecer [4s0A][3Bn6].",Falso | Sem link,"Esse vídeo é antigo e já foi desmentido! A imagem mostra uma prática que parece suspeita, mas é importante lembrar que a maioria das visualizações no YouTube são legítimas.

O vídeo provavelmente foi compartilhado para criar uma narrativa sensacionalista ou para alertar sobre a existência de práticas fraudulentas. No entanto, não há evidências de que essa seja uma prática comum ou que a imagem seja real.

O YouTube tem mecanismos para detectar e remover visualizações falsas, e a plataforma trabalha constantemente para melhorar a segurança e a integridade dos seus serviços.

Se você tiver mais dúvidas, posso ajudar!",Falso | Sem link,,Falso,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/03/e-fake-video-que-mostra-policia-achando-fabrica-de-visualizacoes-de-conteudos-do-youtube-cena-foi-criada-com-inteligencia-artificial.ghtml
É #FAKE que vídeo mostre secretário da Guerra dos EUA desembarcando no Brasil,"Publicação no TikTok afirma que o secretário de Guerra dos EUA, Pete Hegseth, desembarcou no Brasil em avião militar e mostra dois vídeos combinados como prova.",fake,"Essa informação parece estar incorreta. Pete Hegseth é o Secretário de Defesa dos EUA, não Secretário de Guerra, e não há registros de que ele tenha desembarcado no Brasil em um avião militar recentemente.

Os vídeos que você mencionou provavelmente foram manipulados ou combinados para criar uma narrativa engosa. O Secretário de Defesa dos EUA, Pete Hegseth, foi visto em um vídeo a bordo de um C-17 Globemaster III, mas isso foi durante uma viagem à Alemanha, não ao Brasil.¹ ²

Se você tiver mais informações ou contexto sobre os vídeos, posso tentar ajudar a esclarecer melhor.",Falso,"Essa publicação no TikTok é falsa! Não há evidências de que o secretário de Guerra dos EUA, Pete Hegseth, tenha desembarcado no Brasil em avião militar.

Os vídeos mostrados como prova provavelmente foram combinados e editados para criar uma narrativa engosa. Pete Hegseth é o secretário de Defesa dos EUA, não de Guerra, e suas viagens oficiais são amplamente divulgadas pela imprensa e pelo Departamento de Defesa.

Se você tiver mais informações ou contexto sobre a publicação, posso tentar ajudar a esclarecer melhor! 😊¹ ² ³",Falso,,Falso,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/02/e-fake-que-video-mostre-secretario-da-guerra-dos-eua-desembarcando-no-brasil.ghtml
É #FAKE áudio de Lula parabenizando ministro por prisão de Bolsonaro; gravação foi criada com inteligência artificial,"Vídeo nas redes apresenta áudio que seria de Lula parabenizando um ministro pela prisão de Bolsonaro, sugerindo que o presidente teria comentado o caso.",fake,"Esse vídeo é falso! O áudio apresentado não é de Lula e não há evidências de que ele tenha feito tal comentário. É importante verificar as fontes antes de compartilhar informações, especialmente sobre declarações de figuras públicas. Se você tiver mais informações ou contexto sobre o vídeo, posso tentar ajudar a esclarecer.",Falso | Sem link,"Esse vídeo é engoso! O áudio apresentado não é de Lula e a informação é falsa. Não há evidências de que Jair Bolsonaro tenha sido preso.

É importante verificar a veracidade das informações antes de compartilhar, especialmente quando se trata de notícias sensacionalistas ou que geram polêmica. Se você tiver mais dúvidas, posso ajudar! 😊",Falso | Sem link,,Falso,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/02/e-fake-audio-de-lula-parabenizando-ministro-por-prisao-de-bolsonaro-gravacao-foi-criada-com-inteligencia-artificial.ghtml
